ticker,cik,symbol,description,gics_sector,equity_securities,cap_size,sector_revenue_total_(trillions),total_cap_(trillions)
NFYS,1850502,NFYS,Enphys Acquisition Corp.,Financials,Common stocks,Small cap,2.7,46.3
SMBK,1038773,SMBK,"SmartFinancial, Inc.",Financials,Common stocks,Small cap,2.7,46.3
ZT,1849408,ZT,Zimmer Energy Transition Acquisition Corp. - Class A,Financials,Common stocks,Small cap,2.7,46.3
AURA,1501796,AURA,"Aura Biosciences, Inc.",Health Care,Common stocks,Small cap,2.8,46.3
MESO,1345099,MESO,Mesoblast ADRs,Health Care,ADRs,Small cap,2.8,46.3
TWND,1814215,TWND,Tailwind Acquisition Corp. Class A,Financials,Common stocks,Small cap,2.7,46.3
STRC,1826681,STRC,Sarcos Technology and Robotics Corporation,Industrials,Common stocks,Micro cap,2.7,46.3
KODK,31235,KODK,Eastman Kodak,Information Technology,Common stocks,Micro cap,5.8,46.3
BRDG,1854401,BRDG,Bridge Investment Group Holdings Inc.,Financials,REITs,Small cap,2.7,46.3
ACRO,1847891,ACRO,Acropolis Infrastructure Acquisition Corp. Class A,Financials,Common stocks,Small cap,2.7,46.3
ADCT,1771910,ADCT,ADC Therapeutics SA,Health Care,Common stocks,Micro cap,2.8,46.3
RIDE,1759546,RIDE,Lordstown Motors Corp. - Class A,Consumer Discretionary,Common stocks,Micro cap,2.9,46.3
CMCM,1597835,CMCM,Cheetah Mobile ADRs,Information Technology,ADRs,Micro cap,5.8,46.3
LITT,1848364,LITT,Logistics Innovation Technologies Corp. - Class A,Financials,Common stocks,Small cap,2.7,46.3
MCFT,1638290,MCFT,"MasterCraft Boat Holdings, Inc.",Consumer Discretionary,Common stocks,Small cap,2.9,46.3
CPAC,1221029,CPAC,Cementos Pacasmayo SAA ADRs,Materials,ADRs,Small cap,0.9,46.3
BCSA,1873441,BCSA,Blockchain Coinvestors Acquisition Corp. I - Class A,Financials,Common stocks,Small cap,2.7,46.3
BHB,743367,BHB,Bar Harbor Bankshares,Financials,Common stocks,Small cap,2.7,46.3
POWW,1015383,POWW,AMMO Inc,Consumer Discretionary,Common stocks,Micro cap,2.9,46.3
