symbol,description,gics_sector,equity_securities,cap_size
AVA,Avista Corp,Utilities,Common stocks,Mid cap
OTTR,Otter Tail Corp,Utilities,Common stocks,Mid cap
MGEE,MGE Energy Inc,Utilities,Common stocks,Mid cap
ELP,Comp. Paranaense de Energia-COPEL ADRs,Utilities,ADRs,Small cap
MNTK,"Montauk Renewables, Inc.",Utilities,Common stocks,Small cap
UTL,Unitil Corp,Utilities,Common stocks,Small cap
CRGY,Crescent Energy Company Class A,Energy,Common stocks,Small cap
OEG,"Orbital Energy Group, Inc.",Industrials,Common stocks,Micro cap
CCJ,Cameco Corporation,Energy,Common stocks,Large cap
NXE,Nexgen Energy Ltd.,Materials,Common stocks,Small cap
UEC,Uranium Energy Corp,Energy,Common stocks,Small cap
DNN,Denison Mines Corp,Materials,Common stocks,Small cap
UUUU,Energy Fuels Inc,Energy,Common stocks,Small cap
LEU,Centrus Energy Corp Class A,Energy,Common stocks,Small cap
URG,Ur Energy Inc,Energy,Common stocks,Micro cap
UROY,Uranium Royalty Corp.,Energy,Common stocks,Micro cap
ODFL,Old Dominion Freight Line Inc,Industrials,Common stocks,Large cap
TFII,TFI International Inc.,Industrials,Common stocks,Mid cap
KNX,Knight Transportation Inc,Industrials,Common stocks,Mid cap
SAIA,Saia Inc,Industrials,Common stocks,Mid cap
WERN,Werner Enterprises Inc,Industrials,Common stocks,Mid cap
SNDR,Schneider National Inc Class B,Industrials,Common stocks,Mid cap
ARCB,ArcBest Corporation,Industrials,Common stocks,Mid cap
MRTN,Marten Transport Ltd,Industrials,Common stocks,Small cap
HTLD,Heartland Express Inc,Industrials,Common stocks,Small cap
ULH,Universal Logistics Inc,Industrials,Common stocks,Small cap
PTSI,Pam Transportation Services Inc,Industrials,Common stocks,Small cap
CVLG,"Covenant Logistics Group, Inc. - Class A",Industrials,Common stocks,Small cap
DSKE,Daseke Inc,Industrials,Common stocks,Small cap
TSP,TuSimple Holdings Inc.,Industrials,Common stocks,Micro cap
USX,U S Xpress Enterprises Inc Class A,Industrials,Common stocks,Micro cap
USAK,Usa Truck Inc,Industrials,Common stocks,Micro cap
YELL,Yellow Corporation,Industrials,Common stocks,Micro cap
BEST,BEST Inc. ADRs of Class A,Industrials,ADRs,Micro cap
PATI,Patriot Transportation Holding Inc,Industrials,Common stocks,Micro cap
YGMZ,MingZhu Logistics Holdings Ltd,Industrials,Common stocks,Micro cap
BKNG,Booking Holdings Inc,Consumer Discretionary,Common stocks,Large cap
TCOM,Trip.com Group Limited ADRs,Consumer Discretionary,ADRs,Large cap
RCL,Royal Caribbean Cruises Ltd,Consumer Discretionary,Common stocks,Large cap
EXPE,Expedia Inc,Consumer Discretionary,Common stocks,Large cap
CCL,Carnival Corp,Consumer Discretionary,Common stocks,Large cap
NCLH,Norwegian Cruise Line Holdings Ltd,Consumer Discretionary,Common stocks,Mid cap
TNL,Travel & Leisure Co.,Consumer Discretionary,Common stocks,Mid cap
TRIP,TripAdvisor Inc,Communication Services,Common stocks,Mid cap
MMYT,MakeMyTrip Limited,Consumer Discretionary,Common stocks,Small cap
LIND,Lindblad Expeditions Holdings Inc,Consumer Discretionary,Common stocks,Small cap
DESP,Despegar.Com Corp.,Consumer Discretionary,Common stocks,Small cap
YTRA,"Yatra Online, Inc.",Consumer Discretionary,Common stocks,Micro cap
TZOO,Travelzoo,Communication Services,Common stocks,Micro cap
TOUR,Tuniu Corp ADRs,Consumer Discretionary,ADRs,Micro cap
SNA,Snap On Inc,Industrials,Common stocks,Large cap
SWK,Stanley Black & Decker Inc,Industrials,Common stocks,Large cap
TTC,Toro,Industrials,Common stocks,Large cap
LECO,Lincoln Electric Holdings Inc,Industrials,Common stocks,Mid cap
ROLL,RBC Bearings Inc,Industrials,Common stocks,Mid cap
TKR,Timken,Industrials,Common stocks,Mid cap
KMT,Kennametal Inc,Industrials,Common stocks,Mid cap
GFF,Griffon Corp,Industrials,Common stocks,Small cap
HLMN,Hillman Solutions Corp. - Class A,Industrials,Common stocks,Small cap
EML,Eastern,Industrials,Common stocks,Micro cap
SCX,L.S. Starrett Company  Class A,Industrials,Common stocks,Micro cap
CVR,Chicago Rivet And Machine,Industrials,Common stocks,Micro cap
PFIN,P And F Industries Inc Class A,Industrials,Common stocks,Micro cap
TBLT,"Toughbuilt Industries, Inc.",Industrials,Common stocks,Micro cap
PM,Philip Morris International Inc,Consumer Staples,Common stocks,Large cap
MO,Altria Group Inc,Consumer Staples,Common stocks,Large cap
BTI,British American Tobacco PLC ADRs,Consumer Staples,ADRs,Large cap
RLX,RLX Technology Inc. ADRs of class A,Consumer Staples,ADRs,Mid cap
VGR,Vector Group Ltd,Consumer Staples,Common stocks,Small cap
EVEX,"Eve Holding, Inc.",Consumer Staples,Common stocks,Small cap
UVV,Universal Corp,Consumer Staples,Common stocks,Small cap
TPB,Turning Point Brands Inc,Consumer Staples,Common stocks,Small cap
KAVL,"Kaival Brands Innovations Group, Inc.",Consumer Staples,Common stocks,Micro cap
BTU,Peabody Energy Corp,Energy,Common stocks,Mid cap
ARLP,Alliance Resource Partners LP,Energy,MLPs,Mid cap
ARCH,Arch Coal Inc Class A,Energy,Common stocks,Mid cap
CEIX,Consol Energy Corporation,Energy,Common stocks,Small cap
NRP,Natural Resource Partners LP,Real Estate,MLPs,Small cap
HNRG,Hallador Energy,Energy,Common stocks,Micro cap
NC,Nacco Industries Inc Class A,Energy,Common stocks,Micro cap
AREC,American Resources Corporation - Class A,Energy,Common stocks,Micro cap
AIN,Albany International Corp Class A,Industrials,Common stocks,Mid cap
UFI,Unifi Inc,Consumer Discretionary,Common stocks,Micro cap
CULP,Culp Inc,Consumer Discretionary,Common stocks,Micro cap
CRWS,Crown Crafts Inc,Consumer Discretionary,Common stocks,Micro cap
DXYN,Dixie Group Inc Class A,Consumer Discretionary,Common stocks,Micro cap
TMUS,T Mobile US Inc,Communication Services,Common stocks,Large cap
VZ,Verizon Communications Inc,Communication Services,Common stocks,Large cap
T,AT&T Inc.,Communication Services,Common stocks,Large cap
AMX,America Movil SAB de CV ADRs Series L,Communication Services,ADRs,Large cap
AMOV,America Movil - Series A ADRs,Communication Services,ADRs,Large cap
BCE,"BCE, Inc.",Communication Services,Common stocks,Large cap
ORAN,Orange SA ADRs,Communication Services,ADRs,Large cap
CHT,Chunghwa Telecom Co Ltd ADRs,Communication Services,ADRs,Large cap
VOD,Vodacom Group Ltd ADRs,Communication Services,ADRs,Large cap
TU,Telus Corporation,Communication Services,Common stocks,Large cap
TLK,Telekomunikasi Indonesia Persero Tbk PT ADRs,Communication Services,ADRs,Large cap
TEF,Telefonica SA ADRs,Communication Services,ADRs,Large cap
RCI,Rogers Communication,Communication Services,Common stocks,Large cap
ZM,"Zoom Video Communications, Inc. - Class A",Information Technology,Common stocks,Large cap
SJR,Shaw Communications Inc. (Class B),Consumer Discretionary,Common stocks,Large cap
VIV,Telefonica Brasil S.A. ADRs,Communication Services,ADRs,Large cap
SKM,SK Telecom Co Ltd ADRs,Communication Services,ADRs,Mid cap
IRDM,Iridium Communications Inc,Communication Services,Common stocks,Mid cap
KT,KT Corp ADRs,Communication Services,ADRs,Mid cap
FYBR,"Frontier Communications Parent, Inc.",Communication Services,Common stocks,Mid cap
TIMB,TIM S.A. ADRs,Communication Services,ADRs,Mid cap
MBT,Mobile TeleSystems PJSC ADRs,Financials,ADRs,Mid cap
VG,Vonage Holdings Corp,Information Technology,Common stocks,Mid cap
PHI,PLDT  Inc. ADRs,Communication Services,ADRs,Mid cap
